2017-09-07 13:26:30   mouse movement trajectory: ( 66, 550 )
2017-09-07 13:26:31   mouse movement trajectory: ( 62, 524 )
2017-09-07 13:26:31   mouse movement trajectory: ( 60, 504 )
2017-09-07 13:26:31   mouse movement trajectory: ( 60, 492 )
2017-09-07 13:26:31   mouse movement trajectory: ( 62, 468 )
2017-09-07 13:26:31   mouse movement trajectory: ( 66, 444 )
2017-09-07 13:26:31   mouse movement trajectory: ( 66, 430 )
2017-09-07 13:26:31   mouse movement trajectory: ( 68, 414 )
2017-09-07 13:26:31   mouse movement trajectory: ( 70, 404 )
2017-09-07 13:26:31   mouse movement trajectory: ( 72, 400 )
2017-09-07 13:26:31   mouse movement trajectory: ( 76, 390 )
2017-09-07 13:26:31   mouse movement trajectory: ( 78, 384 )
2017-09-07 13:26:31   mouse movement trajectory: ( 84, 372 )
2017-09-07 13:26:31   mouse movement trajectory: ( 92, 362 )
2017-09-07 13:26:31   mouse movement trajectory: ( 102, 352 )
2017-09-07 13:26:31   mouse movement trajectory: ( 108, 346 )
2017-09-07 13:26:32   mouse movement trajectory: ( 118, 338 )
2017-09-07 13:26:32   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:26:32   mouse movement trajectory: ( 132, 332 )
2017-09-07 13:26:32   mouse movement trajectory: ( 136, 332 )
2017-09-07 13:26:32   mouse movement trajectory: ( 138, 332 )
2017-09-07 13:26:32   mouse movement trajectory: ( 140, 332 )
2017-09-07 13:26:32   mouse movement trajectory: ( 142, 334 )
2017-09-07 13:26:32   mouse movement trajectory: ( 144, 334 )
2017-09-07 13:26:32   mouse movement trajectory: ( 144, 336 )
2017-09-07 13:26:32   mouse movement trajectory: ( 146, 338 )
2017-09-07 13:26:32   mouse movement trajectory: ( 146, 340 )
2017-09-07 13:26:32   mouse movement trajectory: ( 148, 344 )
2017-09-07 13:26:32   mouse movement trajectory: ( 150, 348 )
2017-09-07 13:26:32   mouse movement trajectory: ( 152, 358 )
2017-09-07 13:26:32   mouse movement trajectory: ( 152, 364 )
2017-09-07 13:26:32   mouse movement trajectory: ( 152, 370 )
2017-09-07 13:26:33   mouse movement trajectory: ( 150, 372 )
2017-09-07 13:26:33   mouse movement trajectory: ( 150, 378 )
2017-09-07 13:26:33   mouse movement trajectory: ( 148, 382 )
2017-09-07 13:26:33   mouse movement trajectory: ( 146, 382 )
2017-09-07 13:26:33   mouse movement trajectory: ( 142, 384 )
2017-09-07 13:26:33   mouse movement trajectory: ( 140, 384 )
2017-09-07 13:26:33   mouse movement trajectory: ( 138, 382 )
2017-09-07 13:26:33   mouse movement trajectory: ( 136, 380 )
2017-09-07 13:26:33   mouse movement trajectory: ( 134, 372 )
2017-09-07 13:26:33   mouse movement trajectory: ( 130, 366 )
2017-09-07 13:26:33   mouse movement trajectory: ( 126, 348 )
2017-09-07 13:26:33   mouse movement trajectory: ( 126, 330 )
2017-09-07 13:26:33   mouse movement trajectory: ( 126, 328 )
