2017-09-07 13:30:35   mouse movement trajectory: ( 70, 196 )
2017-09-07 13:30:35   mouse movement trajectory: ( 72, 188 )
2017-09-07 13:30:35   mouse movement trajectory: ( 76, 162 )
2017-09-07 13:30:35   mouse movement trajectory: ( 88, 124 )
2017-09-07 13:30:35   mouse movement trajectory: ( 100, 88 )
2017-09-07 13:30:35   mouse movement trajectory: ( 106, 72 )
2017-09-07 13:30:36   mouse movement trajectory: ( 110, 62 )
2017-09-07 13:30:36   mouse movement trajectory: ( 126, 24 )
2017-09-07 13:30:36   mouse movement trajectory: ( 128, 18 )
2017-09-07 13:30:36   mouse movement trajectory: ( 132, 10 )
2017-09-07 13:30:36   mouse movement trajectory: ( 134, 8 )
2017-09-07 13:30:36   mouse movement trajectory: ( 134, 6 )
2017-09-07 13:30:36   mouse movement trajectory: ( 122, 16 )
2017-09-07 13:30:36   mouse movement trajectory: ( 114, 24 )
2017-09-07 13:30:36   mouse movement trajectory: ( 54, 78 )
2017-09-07 13:30:36   mouse movement trajectory: ( 46, 84 )
2017-09-07 13:30:36   mouse movement trajectory: ( 40, 88 )
2017-09-07 13:30:36   mouse movement trajectory: ( 36, 90 )
2017-09-07 13:30:36   mouse movement trajectory: ( 88, 124 )
2017-09-07 13:30:36   mouse movement trajectory: ( 32, 90 )
2017-09-07 13:30:36   mouse movement trajectory: ( 100, 88 )
2017-09-07 13:30:36   mouse movement trajectory: ( 106, 72 )
2017-09-07 13:30:36   mouse movement trajectory: ( 30, 88 )
2017-09-07 13:30:36   mouse movement trajectory: ( 30, 86 )
2017-09-07 13:30:37   mouse movement trajectory: ( 28, 78 )
2017-09-07 13:30:37   mouse movement trajectory: ( 28, 70 )
2017-09-07 13:30:37   mouse movement trajectory: ( 28, 66 )
2017-09-07 13:30:37   mouse movement trajectory: ( 88, 8 )
2017-09-07 13:30:37   mouse movement trajectory: ( 112, 4 )
2017-09-07 13:30:37   mouse movement trajectory: ( 122, 4 )
2017-09-07 13:30:37   mouse movement trajectory: ( 148, 4 )
2017-09-07 13:30:37   mouse movement trajectory: ( 110, 62 )
2017-09-07 13:30:37   mouse movement trajectory: ( 174, 8 )
2017-09-07 13:30:37   mouse movement trajectory: ( 184, 12 )
2017-09-07 13:30:37   mouse movement trajectory: ( 126, 24 )
2017-09-07 13:30:37   mouse movement trajectory: ( 200, 18 )
2017-09-07 13:30:37   mouse movement trajectory: ( 212, 24 )
2017-09-07 13:30:37   mouse movement trajectory: ( 216, 28 )
2017-09-07 13:30:37   mouse movement trajectory: ( 128, 18 )
