2017-09-07 14:09:38   mouse movement trajectory: ( 162, 448 )
2017-09-07 14:09:38   mouse movement trajectory: ( 106, 352 )
2017-09-07 14:09:38   mouse movement trajectory: ( 106, 352 )
2017-09-07 14:09:38   mouse movement trajectory: ( 326, 252 )
2017-09-07 14:09:38   mouse movement trajectory: ( 104, 302 )
2017-09-07 14:09:38   mouse movement trajectory: ( 104, 302 )
2017-09-07 14:09:38   mouse movement trajectory: ( 746, 574 )
2017-09-07 14:09:38   mouse movement trajectory: ( 122, 234 )
2017-09-07 14:09:38   mouse movement trajectory: ( 728, 492 )
2017-09-07 14:09:39   mouse movement trajectory: ( 122, 234 )
2017-09-07 14:09:39   mouse movement trajectory: ( 132, 216 )
2017-09-07 14:09:39   mouse movement trajectory: ( 132, 216 )
2017-09-07 14:09:39   mouse movement trajectory: ( 132, 216 )
2017-09-07 14:09:39   mouse movement trajectory: ( 722, 408 )
2017-09-07 14:09:39   mouse movement trajectory: ( 144, 200 )
2017-09-07 14:09:39   mouse movement trajectory: ( 144, 200 )
2017-09-07 14:09:39   mouse movement trajectory: ( 144, 200 )
2017-09-07 14:09:39   mouse movement trajectory: ( 326, 254 )
2017-09-07 14:09:39   mouse movement trajectory: ( 162, 188 )
2017-09-07 14:09:39   mouse movement trajectory: ( 162, 188 )
2017-09-07 14:09:39   mouse movement trajectory: ( 162, 188 )
2017-09-07 14:09:39   mouse movement trajectory: ( 176, 186 )
2017-09-07 14:09:39   mouse movement trajectory: ( 176, 186 )
2017-09-07 14:09:39   mouse movement trajectory: ( 176, 186 )
2017-09-07 14:09:39   mouse movement trajectory: ( 182, 190 )
2017-09-07 14:09:39   mouse movement trajectory: ( 182, 190 )
2017-09-07 14:09:39   mouse movement trajectory: ( 182, 190 )
2017-09-07 14:09:40   mouse movement trajectory: ( 196, 206 )
2017-09-07 14:09:40   mouse movement trajectory: ( 196, 206 )
2017-09-07 14:09:40   mouse movement trajectory: ( 196, 206 )
2017-09-07 14:09:40   mouse movement trajectory: ( 208, 224 )
2017-09-07 14:09:40   mouse movement trajectory: ( 208, 224 )
2017-09-07 14:09:40   mouse movement trajectory: ( 208, 224 )
2017-09-07 14:09:40   mouse movement trajectory: ( 224, 276 )
2017-09-07 14:09:40   mouse movement trajectory: ( 224, 276 )
2017-09-07 14:09:40   mouse movement trajectory: ( 224, 276 )
2017-09-07 14:09:40   mouse movement trajectory: ( 228, 292 )
2017-09-07 14:09:40   mouse movement trajectory: ( 228, 292 )
2017-09-07 14:09:40   mouse movement trajectory: ( 228, 292 )
2017-09-07 14:09:40   mouse movement trajectory: ( 232, 306 )
2017-09-07 14:09:40   mouse movement trajectory: ( 232, 306 )
2017-09-07 14:09:40   mouse movement trajectory: ( 232, 306 )
2017-09-07 14:09:40   mouse movement trajectory: ( 232, 306 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 314 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 316 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 316 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 316 )
2017-09-07 14:09:41   mouse movement trajectory: ( 232, 316 )
2017-09-07 14:09:41   mouse movement trajectory: ( 222, 322 )
2017-09-07 14:09:41   mouse movement trajectory: ( 222, 322 )
2017-09-07 14:09:41   mouse movement trajectory: ( 222, 322 )
2017-09-07 14:09:41   mouse movement trajectory: ( 222, 322 )
2017-09-07 14:09:41   mouse movement trajectory: ( 196, 330 )
2017-09-07 14:09:42   mouse movement trajectory: ( 196, 330 )
2017-09-07 14:09:42   mouse movement trajectory: ( 196, 330 )
2017-09-07 14:09:42   mouse movement trajectory: ( 196, 330 )
2017-09-07 14:09:42   mouse movement trajectory: ( 176, 332 )
2017-09-07 14:09:42   mouse movement trajectory: ( 176, 332 )
2017-09-07 14:09:42   mouse movement trajectory: ( 176, 332 )
2017-09-07 14:09:42   mouse movement trajectory: ( 164, 324 )
2017-09-07 14:09:42   mouse movement trajectory: ( 742, 208 )
2017-09-07 14:09:42   mouse movement trajectory: ( 164, 324 )
2017-09-07 14:09:42   mouse movement trajectory: ( 164, 324 )
2017-09-07 14:09:42   mouse movement trajectory: ( 164, 324 )
2017-09-07 14:09:42   mouse movement trajectory: ( 164, 324 )
2017-09-07 14:09:42   mouse movement trajectory: ( 160, 320 )
2017-09-07 14:09:42   mouse movement trajectory: ( 160, 320 )
2017-09-07 14:09:42   mouse movement trajectory: ( 160, 320 )
